date,steps,calorieskcal,avg_heart_ratebpm,min_heart_ratebpm,max_heart_ratebpm,avg_spo2,min_spo2,max_spo2,avg_hrvms,min_hrvms,max_hrvms,start_time,end_time,falling_asleep_time,wakeup_time,sleep_time_ratio,time_asleepmin,sleep_stages__awakemin,sleep_stages__remmin,sleep_stages__light_sleepmin,sleep_stages__deep_sleepmin,time_to_fall_asleep,time_to_wake_up,time_asleep_hours,rem_pct,deep_sleep_pct,light_sleep_pct,sleep_midpoint,time_in_bed,date_of_sleep
2026-01-01,6639,2592,83,61,131,97.0,90.0,100.0,37,11,144,2026-01-01 05:59:27,2026-01-01 12:47:01,2026-01-01 06:14:28,2026-01-01 12:44:27,91.0,372,18,82,230,60,0 days 00:15:01,0 days 00:02:34,6.2,0.22043010752688172,0.16129032258064516,0.6182795698924731,2026-01-01 09:23:14.000,0 days 06:47:34,2026-01-01
2026-01-02,1323,2018,75,52,132,96.0,92.0,99.0,59,11,113,2026-01-01 23:37:49,2026-01-02 09:05:19,2026-01-02 00:00:19,2026-01-02 08:55:19,88.0,502,33,120,300,82,0 days 00:22:30,0 days 00:10:00,8.366666666666667,0.23904382470119523,0.16334661354581673,0.5976095617529881,2026-01-02 04:21:34.000,0 days 09:27:30,2026-01-02
2026-01-03,1777,2025,72,49,132,96.0,91.0,100.0,52,11,109,2026-01-03 01:47:44,2026-01-03 11:30:14,2026-01-03 02:02:44,2026-01-03 11:17:44,91.0,531,24,108,328,95,0 days 00:15:00,0 days 00:12:30,8.85,0.2033898305084746,0.17890772128060264,0.6177024482109228,2026-01-03 06:38:59.000,0 days 09:42:30,2026-01-03
2026-01-04,1720,2044,70,47,130,96.0,87.0,99.0,59,12,130,2026-01-03 22:55:19,2026-01-04 09:02:49,2026-01-03 23:15:19,2026-01-04 08:55:19,87.0,531,49,115,338,78,0 days 00:20:00,0 days 00:07:30,8.85,0.21657250470809794,0.14689265536723164,0.6365348399246704,2026-01-04 03:59:04.000,0 days 10:07:30,2026-01-04
2026-01-05,1355,2015,73,47,145,96.0,87.0,100.0,60,12,193,2026-01-04 23:35:11,2026-01-05 08:27:50,2026-01-05 00:02:42,2026-01-05 08:17:50,90.0,480,16,100,285,95,0 days 00:27:31,0 days 00:10:00,8.0,0.20833333333333334,0.19791666666666666,0.59375,2026-01-05 04:01:30.500,0 days 08:52:39,2026-01-05
2026-01-06,2075,1965,74,49,132,96.0,88.0,100.0,56,12,139,2026-01-06 00:25:19,2026-01-06 09:05:19,2026-01-06 00:52:49,2026-01-06 08:12:49,78.0,403,37,100,228,75,0 days 00:27:30,0 days 00:52:30,6.716666666666667,0.24813895781637718,0.18610421836228289,0.56575682382134,2026-01-06 04:45:19.000,0 days 08:40:00,2026-01-06
2026-01-07,2159,2096,79,55,134,96.0,85.0,99.0,53,11,162,2026-01-07 01:52:30,2026-01-07 09:07:30,2026-01-07 02:10:00,2026-01-07 08:55:00,87.0,380,25,100,180,100,0 days 00:17:30,0 days 00:12:30,6.333333333333333,0.2631578947368421,0.2631578947368421,0.47368421052631576,2026-01-07 05:30:00.000,0 days 07:15:00,2026-01-07
2026-01-08,2825,2198,79,54,126,97.0,89.0,99.0,48,12,143,2026-01-08 02:53:17,2026-01-08 10:20:51,2026-01-08 03:13:17,2026-01-08 09:48:21,83.0,372,24,60,222,90,0 days 00:20:00,0 days 00:32:30,6.2,0.16129032258064516,0.24193548387096775,0.5967741935483871,2026-01-08 06:37:04.000,0 days 07:27:34,2026-01-08
2026-01-09,1885,2102,81,56,146,96.0,89.0,99.0,33,11,83,2026-01-09 01:45:34,2026-01-09 08:55:34,2026-01-09 02:23:04,2026-01-09 08:08:04,76.0,326,19,90,178,58,0 days 00:37:30,0 days 00:47:30,5.433333333333334,0.27607361963190186,0.17791411042944785,0.5460122699386503,2026-01-09 05:20:34.000,0 days 07:10:00,2026-01-09
2026-01-10,18955,3373,80,56,116,97.0,92.0,99.0,41,13,104,2026-01-10 02:19:09,2026-01-10 05:06:39,2026-01-10 02:51:39,2026-01-10 05:01:39,70.0,118,12,45,48,25,0 days 00:32:30,0 days 00:05:00,1.9666666666666666,0.3813559322033898,0.211864406779661,0.4067796610169492,2026-01-10 03:42:54.000,0 days 02:47:30,2026-01-10
2026-01-11,8016,2503,81,55,118,97.0,94.0,100.0,44,11,92,2026-01-10 23:11:28,2026-01-11 09:18:58,2026-01-10 23:53:58,2026-01-11 09:03:58,84.0,510,40,130,325,55,0 days 00:42:30,0 days 00:15:00,8.5,0.2549019607843137,0.10784313725490197,0.6372549019607843,2026-01-11 04:15:13.000,0 days 10:07:30,2026-01-11
2026-01-12,11471,2946,86,58,123,97.0,94.0,100.0,35,11,77,2026-01-12 04:26:58,2026-01-12 11:21:58,2026-01-12 05:24:28,2026-01-12 10:59:28,75.0,310,25,88,182,40,0 days 00:57:30,0 days 00:22:30,5.166666666666667,0.2838709677419355,0.12903225806451613,0.5870967741935483,2026-01-12 07:54:28.000,0 days 06:55:00,2026-01-12
2026-01-13,3030,2328,82,57,134,97.0,93.0,100.0,39,11,117,2026-01-13 02:45:31,2026-01-13 09:00:31,2026-01-13 03:15:31,2026-01-13 08:55:31,85.0,317,23,50,222,45,0 days 00:30:00,0 days 00:05:00,5.283333333333333,0.15772870662460567,0.14195583596214512,0.7003154574132492,2026-01-13 05:53:01.000,0 days 06:15:00,2026-01-13
2026-01-14,2918,2209,76,52,117,96.0,90.0,100.0,53,11,104,2026-01-14 01:45:37,2026-01-14 09:23:10,2026-01-14 02:03:07,2026-01-14 09:23:07,92.0,422,18,90,252,80,0 days 00:17:30,0 days 00:00:03,7.033333333333333,0.2132701421800948,0.1895734597156398,0.5971563981042654,2026-01-14 05:34:23.500,0 days 07:37:33,2026-01-14
2026-01-15,2562,2171,78,51,135,96.0,89.0,99.0,45,11,140,2026-01-15 00:35:44,2026-01-15 08:15:44,2026-01-15 00:45:44,2026-01-15 08:10:44,91.0,418,27,90,228,100,0 days 00:10:00,0 days 00:05:00,6.966666666666667,0.215311004784689,0.23923444976076555,0.5454545454545454,2026-01-15 04:25:44.000,0 days 07:40:00,2026-01-15
2026-01-16,1429,1997,77,52,113,96.0,84.0,99.0,44,11,110,2026-01-16 01:36:51,2026-01-16 08:26:51,2026-01-16 01:49:21,2026-01-16 08:24:21,90.0,368,27,85,228,55,0 days 00:12:30,0 days 00:02:30,6.133333333333334,0.23097826086956522,0.14945652173913043,0.6195652173913043,2026-01-16 05:01:51.000,0 days 06:50:00,2026-01-16
2026-01-17,2141,1963,80,53,142,96.0,91.0,99.0,43,11,123,2026-01-17 01:45:17,2026-01-17 11:05:17,2026-01-17 02:12:47,2026-01-17 10:42:47,87.0,488,22,118,282,88,0 days 00:27:30,0 days 00:22:30,8.133333333333333,0.24180327868852458,0.18032786885245902,0.5778688524590164,2026-01-17 06:25:17.000,0 days 09:20:00,2026-01-17
