Date,Steps,Calories(kcal)
2026-01-01,6639,2592
2026-01-02,1323,2018
2026-01-03,1777,2025
2026-01-04,1720,2044
2026-01-05,1355,2015
2026-01-06,2075,1965
2026-01-07,2159,2096
2026-01-08,2825,2198
2026-01-09,1885,2102
2026-01-10,18955,3373
2026-01-11,8016,2503
2026-01-12,11471,2946
2026-01-13,3030,2328
2026-01-14,2918,2209
2026-01-15,2562,2171
2026-01-16,1429,1997
2026-01-17,2141,1963
2026-01-18,3124,2247
2026-01-19,5261,2346
2026-01-20,4256,2378
2026-01-21,3689,2116
2026-01-22,4418,2416
2026-01-23,4514,2587
2026-01-24,2664,2380
2026-01-25,1697,2142
2026-01-26,3804,2550
2026-01-27,4633,2536
2026-01-28,3204,2159
2026-01-29,3506,2378
2026-01-30,5454,2343
2026-01-31,6447,2623
2026-02-01,1496,2019
